epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.3607465189614115,0.9305186170212766,0.009245248499179357,0.9991776315789473,2024-11-06 10:59:13.978756
1,0.025454903010308665,0.9955119680851063,0.0026876796251407973,1.0,2024-11-06 10:59:13.978756
2,0.017012755873246476,0.9971742021276596,0.0008878138660771871,1.0,2024-11-06 10:59:13.978756
